STRUCTURE,STRUCTURE_ID,ACTION,FREQ,GBAUPS,GKATS,GWAERZH,GWAERZW,KANTONSNUMMER,TIME_PERIOD,OBS_VALUE,DIFF_REGION_STATE,DIFF_LAST_UPDATE,DIFF_EMBARGO_DATE,DIFF_DB_STATE,OBS_STATUS,DIFF_REGION_REF
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,_T,1,_T,GL,2021,1442,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,_T,1,_T,GL,2022,1612,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,_T,1,_T,GL,2023,1837,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,_T,1,_T,GL,2024,2049,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,_T,4,_T,FR,2021,6053,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,_T,4,_T,FR,2022,6072,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,_T,4,_T,FR,2023,7278,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,_T,4,_T,FR,2024,7285,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,_T,5,_T,LU,2021,4446,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,_T,5,_T,LU,2022,4345,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
