"GEO_NR","GEO_NAME","CLASS_HAB","GEOM_PERIOD","VARIABLE","SOURCE","VALUE_PERIOD","UNIT_VALUE","VALUE","STATUS"
"CH","Schweiz / Suisse","Total","2022-05-01","wh_en_t","GWS","2021","Num","4688288.0","A"
"CH","Schweiz / Suisse","Total","2022-05-01","wh_en_wp","GWS","2021","Num","651760.0","A"
"CH","Schweiz / Suisse","Total","2022-05-01","wh_en_gaz","GWS","2021","Num","1112965.0","A"
"CH","Schweiz / Suisse","Total","2022-05-01","wh_en_hoe","GWS","2021","Num","1963687.0","A"
"CH","Schweiz / Suisse","Total","2022-05-01","wh_en_hz","GWS","2021","Num","325630.0","A"
"CH","Schweiz / Suisse","Total","2022-05-01","wh_en_ez","GWS","2021","Num","211232.0","A"
"CH","Schweiz / Suisse","Total","2022-05-01","wh_en_st","GWS","2021","Num","10601.0","A"
"CH","Schweiz / Suisse","Total","2022-05-01","wh_en_fw","GWS","2021","Num","358433.0","A"
"CH","Schweiz / Suisse","Total","2022-05-01","wh_en_and","GWS","2021","Num","46289.0","A"
"CH","Schweiz / Suisse","Total","2022-05-01","wh_en_kei","GWS","2021","Num","7691.0","A"
"CH","Schweiz / Suisse","Total","2022-05-01","lw_t","LWZ","2022-06-01","Num","61496.0","A"
"CH","Schweiz / Suisse","Total","2022-05-01","lw_1z","LWZ","2022-06-01","Num","5825.0","A"
"CH","Schweiz / Suisse","Total","2022-05-01","lw_2z","LWZ","2022-06-01","Num","11334.0","A"
"CH","Schweiz / Suisse","Total","2022-05-01","lw_3z","LWZ","2022-06-01","Num","20716.0","A"
"CH","Schweiz / Suisse","Total","2022-05-01","lw_4z","LWZ","2022-06-01","Num","15743.0","A"
"CH","Schweiz / Suisse","Total","2022-05-01","lw_5z","LWZ","2022-06-01","Num","5029.0","A"
"CH","Schweiz / Suisse","Total","2022-05-01","lw6pz","LWZ","2022-06-01","Num","2849.0","A"
"CH","Schweiz / Suisse","Total","2022-05-01","lw_loc","LWZ","2022-06-01","Num","52556.0","A"
