"TIME_PERIOD";"GEO";"INDICATOR";"VALUE"
"2024";"CH";"Total";46.6
"2024";"CH";"1";30.0
"2024";"CH";"2";43.2
"2024";"CH";"3";43.1
"2024";"CH";"4";42.9
"2024";"CH";"5";50.8
"2024";"CH";"6";61.2
"2024";"CH040";"Total";44.8
"2024";"CH040";"1";32.2
"2024";"CH040";"2";45.6
"2024";"CH040";"3";42.5
"2024";"CH040";"4";40.3
"2024";"CH040";"5";49.1
"2024";"CH040";"6";60.9
"2024";"CH021";"Total";46.8
"2024";"CH021";"1";29.5
"2024";"CH021";"2";43.3
"2024";"CH021";"3";44.1
"2024";"CH021";"4";44.0
"2024";"CH021";"5";50.8
"2024";"CH021";"6";59.2
"2024";"CH061";"Total";47.2
"2024";"CH061";"1";31.4
"2024";"CH061";"2";46.2
"2024";"CH061";"3";46.7
"2024";"CH061";"4";42.8
"2024";"CH061";"5";49.2
"2024";"CH061";"6";57.3
"2024";"CH062";"Total";47.9
"2024";"CH062";"1";27.5
"2024";"CH062";"2";42.6
"2024";"CH062";"3";47.1
"2024";"CH062";"4";45.5
"2024";"CH062";"5";48.6
"2024";"CH062";"6";54.8
"2024";"CH063";"Total";50.4
"2024";"CH063";"1";30.9
"2024";"CH063";"2";45.5
"2024";"CH063";"3";48.9
"2024";"CH063";"4";46.6
"2024";"CH063";"5";52.9
"2024";"CH063";"6";61.1
"2024";"CH064";"Total";49.8
"2024";"CH064";"1";26.1
"2024";"CH064";"2";44.6
"2024";"CH064";"3";48.4
"2024";"CH064";"4";46.1
"2024";"CH064";"5";52.0
"2024";"CH064";"6";59.6
"2024";"CH065";"Total";50.8
"2024";"CH065";"1";28.8
"2024";"CH065";"2";45.4
"2024";"CH065";"3";50.2
"2024";"CH065";"4";48.2
"2024";"CH065";"5";53.5
"2024";"CH065";"6";59.7
"2024";"CH051";"Total";50.5
"2024";"CH051";"1";30.6
"2024";"CH051";"2";45.9
"2024";"CH051";"3";47.3
"2024";"CH051";"4";45.2
"2024";"CH051";"5";51.8
"2024";"CH051";"6";63.9
"2024";"CH066";"Total";47.7
"2024";"CH066";"1";32.1
"2024";"CH066";"2";47.2
"2024";"CH066";"3";47.4
"2024";"CH066";"4";43.6
"2024";"CH066";"5";49.3
"2024";"CH066";"6";62.2
"2024";"CH022";"Total";46.3
"2024";"CH022";"1";27.2
"2024";"CH022";"2";42.5
"2024";"CH022";"3";42.3
"2024";"CH022";"4";42.6
"2024";"CH022";"5";50.9
"2024";"CH022";"6";59.8
"2024";"CH023";"Total";50.3
"2024";"CH023";"1";32.2
"2024";"CH023";"2";46.5
"2024";"CH023";"3";46.2
"2024";"CH023";"4";45.3
"2024";"CH023";"5";54.2
"2024";"CH023";"6";63.0
"2024";"CH031";"Total";41.4
"2024";"CH031";"1";30.2
"2024";"CH031";"2";42.0
"2024";"CH031";"3";39.6
"2024";"CH031";"4";38.1
"2024";"CH031";"5";45.7
"2024";"CH031";"6";60.6
"2024";"CH032";"Total";48.6
"2024";"CH032";"1";33.4
"2024";"CH032";"2";46.7
"2024";"CH032";"3";44.4
"2024";"CH032";"4";44.1
"2024";"CH032";"5";52.3
"2024";"CH032";"6";63.2
"2024";"CH052";"Total";51.0
"2024";"CH052";"1";34.1
"2024";"CH052";"2";46.7
"2024";"CH052";"3";47.9
"2024";"CH052";"4";46.2
"2024";"CH052";"5";54.4
"2024";"CH052";"6";63.3
"2024";"CH053";"Total";51.9
"2024";"CH053";"1";30.2
"2024";"CH053";"2";44.1
"2024";"CH053";"3";47.3
"2024";"CH053";"4";46.3
"2024";"CH053";"5";52.0
"2024";"CH053";"6";62.6
"2024";"CH054";"Total";52.3
"2024";"CH054";"1";27.6
"2024";"CH054";"2";44.0
"2024";"CH054";"3";45.8
"2024";"CH054";"4";48.7
"2024";"CH054";"5";53.8
"2024";"CH054";"6";56.7
"2024";"CH055";"Total";48.2
"2024";"CH055";"1";30.4
"2024";"CH055";"2";45.3
"2024";"CH055";"3";46.3
"2024";"CH055";"4";43.3
"2024";"CH055";"5";50.0
"2024";"CH055";"6";58.9
"2024";"CH056";"Total";48.2
"2024";"CH056";"1";24.3
"2024";"CH056";"2";41.4
"2024";"CH056";"3";45.9
"2024";"CH056";"4";45.5
"2024";"CH056";"5";52.0
"2024";"CH056";"6";62.3
"2024";"CH033";"Total";49.9
"2024";"CH033";"1";33.3
"2024";"CH033";"2";47.3
"2024";"CH033";"3";46.4
"2024";"CH033";"4";45.2
"2024";"CH033";"5";53.0
"2024";"CH033";"6";62.0
"2024";"CH057";"Total";52.1
"2024";"CH057";"1";32.8
"2024";"CH057";"2";47.8
"2024";"CH057";"3";48.7
"2024";"CH057";"4";46.6
"2024";"CH057";"5";54.5
"2024";"CH057";"6";62.5
"2024";"CH070";"Total";49.7
"2024";"CH070";"1";41.0
"2024";"CH070";"2";46.0
"2024";"CH070";"3";46.6
"2024";"CH070";"4";46.9
"2024";"CH070";"5";53.8
"2024";"CH070";"6";67.5
"2024";"CH011";"Total";43.3
"2024";"CH011";"1";26.0
"2024";"CH011";"2";39.1
"2024";"CH011";"3";37.9
"2024";"CH011";"4";40.0
"2024";"CH011";"5";49.9
"2024";"CH011";"6";64.7
"2024";"CH012";"Total";47.3
"2024";"CH012";"1";24.3
"2024";"CH012";"2";39.3
"2024";"CH012";"3";44.3
"2024";"CH012";"4";46.5
"2024";"CH012";"5";51.9
"2024";"CH012";"6";61.7
"2024";"CH024";"Total";46.2
"2024";"CH024";"1";32.6
"2024";"CH024";"2";42.7
"2024";"CH024";"3";43.5
"2024";"CH024";"4";42.5
"2024";"CH024";"5";50.1
"2024";"CH024";"6";61.4
"2024";"CH013";"Total";37.5
"2024";"CH013";"1";29.4
"2024";"CH013";"2";36.5
"2024";"CH013";"3";34.2
"2024";"CH013";"4";35.1
"2024";"CH013";"5";42.0
"2024";"CH013";"6";60.3
"2024";"CH025";"Total";49.5
"2024";"CH025";"1";28.4
"2024";"CH025";"2";41.5
"2024";"CH025";"3";45.4
"2024";"CH025";"4";46.1
"2024";"CH025";"5";51.2
"2024";"CH025";"6";58.7

