"Jahr","Monat","Jahr_Monat","Standort","Heizgradtag","akkumulierteTemperaturdifferenz"
1864,1,"1864-01","Fluntern",797,549
1864,2,"1864-02","Fluntern",598,366
1864,3,"1864-03","Fluntern",453,205
1864,4,"1864-04","Fluntern",337,129
1864,5,"1864-05","Fluntern",105,25
1864,6,"1864-06","Fluntern",36,4
1864,7,"1864-07","Fluntern",0,0
1864,8,"1864-08","Fluntern",64,8
1864,9,"1864-09","Fluntern",70,14
1864,10,"1864-10","Fluntern",353,137
1864,11,"1864-11","Fluntern",497,257
1864,12,"1864-12","Fluntern",724,476
1865,1,"1865-01","Fluntern",592,344
1865,2,"1865-02","Fluntern",615,391
1865,3,"1865-03","Fluntern",628,380
1865,4,"1865-04","Fluntern",125,45
1865,5,"1865-05","Fluntern",33,1
1865,6,"1865-06","Fluntern",0,0
1865,7,"1865-07","Fluntern",0,0
1865,8,"1865-08","Fluntern",9,1
1865,9,"1865-09","Fluntern",8,0
1865,10,"1865-10","Fluntern",262,62
1865,11,"1865-11","Fluntern",446,206
1865,12,"1865-12","Fluntern",655,407
1866,1,"1866-01","Fluntern",538,290
1866,2,"1866-02","Fluntern",430,206
1866,3,"1866-03","Fluntern",477,229
1866,4,"1866-04","Fluntern",234,74
1866,5,"1866-05","Fluntern",203,59
1866,6,"1866-06","Fluntern",9,1
1866,7,"1866-07","Fluntern",0,0
1866,8,"1866-08","Fluntern",17,1
1866,9,"1866-09","Fluntern",19,3
1866,10,"1866-10","Fluntern",313,113
1866,11,"1866-11","Fluntern",457,225
1866,12,"1866-12","Fluntern",543,295
1867,1,"1867-01","Fluntern",630,382
1867,2,"1867-02","Fluntern",404,180
1867,3,"1867-03","Fluntern",478,230
1867,4,"1867-04","Fluntern",279,87
1867,5,"1867-05","Fluntern",114,34
1867,6,"1867-06","Fluntern",32,8
1867,7,"1867-07","Fluntern",0,0
1867,8,"1867-08","Fluntern",0,0
1867,9,"1867-09","Fluntern",85,21
1867,10,"1867-10","Fluntern",367,135
1867,11,"1867-11","Fluntern",545,305
1867,12,"1867-12","Fluntern",676,428
1868,1,"1868-01","Fluntern",670,422
1868,2,"1868-02","Fluntern",486,254
1868,3,"1868-03","Fluntern",511,263
1868,4,"1868-04","Fluntern",304,112
1868,5,"1868-05","Fluntern",0,0
1868,6,"1868-06","Fluntern",29,5
1868,7,"1868-07","Fluntern",0,0
1868,8,"1868-08","Fluntern",8,0
1868,9,"1868-09","Fluntern",0,0
1868,10,"1868-10","Fluntern",266,82
1868,11,"1868-11","Fluntern",554,314
1868,12,"1868-12","Fluntern",422,190
1869,1,"1869-01","Fluntern",645,397
1869,2,"1869-02","Fluntern",399,175
1869,3,"1869-03","Fluntern",577,329
1869,4,"1869-04","Fluntern",179,67
1869,5,"1869-05","Fluntern",18,2
1869,6,"1869-06","Fluntern",87,15
1869,7,"1869-07","Fluntern",0,0
1869,8,"1869-08","Fluntern",9,1
1869,9,"1869-09","Fluntern",18,2
1869,10,"1869-10","Fluntern",351,167
1869,11,"1869-11","Fluntern",459,219
1869,12,"1869-12","Fluntern",653,405
1870,1,"1870-01","Fluntern",666,418
1870,2,"1870-02","Fluntern",621,397
1870,3,"1870-03","Fluntern",539,291
1870,4,"1870-04","Fluntern",290,98
1870,5,"1870-05","Fluntern",82,26
1870,6,"1870-06","Fluntern",8,0
1870,7,"1870-07","Fluntern",9,1
1870,8,"1870-08","Fluntern",27,3
1870,9,"1870-09","Fluntern",124,20
1870,10,"1870-10","Fluntern",312,96
1870,11,"1870-11","Fluntern",485,245
1870,12,"1870-12","Fluntern",729,481
1871,1,"1871-01","Fluntern",751,503
1871,2,"1871-02","Fluntern",509,285
1871,3,"1871-03","Fluntern",464,216
1871,4,"1871-04","Fluntern",272,72
1871,5,"1871-05","Fluntern",128,24
1871,6,"1871-06","Fluntern",118,30
1871,7,"1871-07","Fluntern",0,0
1871,8,"1871-08","Fluntern",8,0
1871,9,"1871-09","Fluntern",17,1
1871,10,"1871-10","Fluntern",384,152
1871,11,"1871-11","Fluntern",579,339
1871,12,"1871-12","Fluntern",819,571
1872,1,"1872-01","Fluntern",607,359
1872,2,"1872-02","Fluntern",545,313
1872,3,"1872-03","Fluntern",417,185
1872,4,"1872-04","Fluntern",238,70
1872,5,"1872-05","Fluntern",115,35
1872,6,"1872-06","Fluntern",38,6
1872,7,"1872-07","Fluntern",0,0
1872,8,"1872-08","Fluntern",0,0
1872,9,"1872-09","Fluntern",77,21
1872,10,"1872-10","Fluntern",261,61
1872,11,"1872-11","Fluntern",398,166
1872,12,"1872-12","Fluntern",528,280
1873,1,"1873-01","Fluntern",583,335
1873,2,"1873-02","Fluntern",537,313
1873,3,"1873-03","Fluntern",398,158
1873,4,"1873-04","Fluntern",352,136
1873,5,"1873-05","Fluntern",202,50
1873,6,"1873-06","Fluntern",17,1
1873,7,"1873-07","Fluntern",0,0
1873,8,"1873-08","Fluntern",0,0
1873,9,"1873-09","Fluntern",67,11
1873,10,"1873-10","Fluntern",263,87
1873,11,"1873-11","Fluntern",467,227
1873,12,"1873-12","Fluntern",625,377
1874,1,"1874-01","Fluntern",624,376
1874,2,"1874-02","Fluntern",559,335
1874,3,"1874-03","Fluntern",490,242
1874,4,"1874-04","Fluntern",225,73
1874,5,"1874-05","Fluntern",258,106
1874,6,"1874-06","Fluntern",29,5
1874,7,"1874-07","Fluntern",0,0
1874,8,"1874-08","Fluntern",0,0
1874,9,"1874-09","Fluntern",9,1
1874,10,"1874-10","Fluntern",332,116
1874,11,"1874-11","Fluntern",575,335
1874,12,"1874-12","Fluntern",673,425
1875,1,"1875-01","Fluntern",570,322
1875,2,"1875-02","Fluntern",649,425
1875,3,"1875-03","Fluntern",548,300
1875,4,"1875-04","Fluntern",277,93
1875,5,"1875-05","Fluntern",36,4
1875,6,"1875-06","Fluntern",19,3
1875,7,"1875-07","Fluntern",0,0
1875,8,"1875-08","Fluntern",0,0
1875,9,"1875-09","Fluntern",35,3
1875,10,"1875-10","Fluntern",363,131
1875,11,"1875-11","Fluntern",484,252
1875,12,"1875-12","Fluntern",708,460
1876,1,"1876-01","Fluntern",704,456
1876,2,"1876-02","Fluntern",522,290
1876,3,"1876-03","Fluntern",481,233
1876,4,"1876-04","Fluntern",311,95
1876,5,"1876-05","Fluntern",238,86
1876,6,"1876-06","Fluntern",53,5
1876,7,"1876-07","Fluntern",0,0
1876,8,"1876-08","Fluntern",19,3
1876,9,"1876-09","Fluntern",90,18
1876,10,"1876-10","Fluntern",198,70
1876,11,"1876-11","Fluntern",527,287
1876,12,"1876-12","Fluntern",504,256
1877,1,"1877-01","Fluntern",541,293
1877,2,"1877-02","Fluntern",462,238
1877,3,"1877-03","Fluntern",524,284
1877,4,"1877-04","Fluntern",334,118
1877,5,"1877-05","Fluntern",245,53
1877,6,"1877-06","Fluntern",0,0
1877,7,"1877-07","Fluntern",0,0
1877,8,"1877-08","Fluntern",0,0
1877,9,"1877-09","Fluntern",186,58
1877,10,"1877-10","Fluntern",407,159
1877,11,"1877-11","Fluntern",429,189
1877,12,"1877-12","Fluntern",592,344
1878,1,"1878-01","Fluntern",694,446
1878,2,"1878-02","Fluntern",538,314
1878,3,"1878-03","Fluntern",522,274
1878,4,"1878-04","Fluntern",304,96
1878,5,"1878-05","Fluntern",65,9
1878,6,"1878-06","Fluntern",8,0
1878,7,"1878-07","Fluntern",9,1
1878,8,"1878-08","Fluntern",0,0
1878,9,"1878-09","Fluntern",93,13
1878,10,"1878-10","Fluntern",293,69
1878,11,"1878-11","Fluntern",539,299
1878,12,"1878-12","Fluntern",700,452
1879,1,"1879-01","Fluntern",654,406
1879,2,"1879-02","Fluntern",512,288
1879,3,"1879-03","Fluntern",482,234
1879,4,"1879-04","Fluntern",380,156
1879,5,"1879-05","Fluntern",284,100
1879,6,"1879-06","Fluntern",0,0
1879,7,"1879-07","Fluntern",44,4
1879,8,"1879-08","Fluntern",0,0
1879,9,"1879-09","Fluntern",98,26
1879,10,"1879-10","Fluntern",384,144
1879,11,"1879-11","Fluntern",594,354
1879,12,"1879-12","Fluntern",886,638
1880,1,"1880-01","Fluntern",782,534
1880,2,"1880-02","Fluntern",567,335
1880,3,"1880-03","Fluntern",405,157
1880,4,"1880-04","Fluntern",268,100
1880,5,"1880-05","Fluntern",177,57
1880,6,"1880-06","Fluntern",54,6
1880,7,"1880-07","Fluntern",0,0
1880,8,"1880-08","Fluntern",0,0
1880,9,"1880-09","Fluntern",75,11
1880,10,"1880-10","Fluntern",296,104
1880,11,"1880-11","Fluntern",460,220
1880,12,"1880-12","Fluntern",464,216
1881,1,"1881-01","Fluntern",726,478
1881,2,"1881-02","Fluntern",506,282
1881,3,"1881-03","Fluntern",451,203
